user_id,name,role_id,department_id,designation_id,division_id,authority_scope
USR001,Divya Rao,ROLE001,DPT001,DES001,DIV001,department:DPT001
USR002,Karthik Kumar,ROLE001,DPT001,DES001,DIV001,department:DPT001
USR003,Priya Reddy,ROLE001,DPT001,DES001,DIV001,department:DPT001
USR004,Divya Kumar,ROLE001,DPT002,DES001,DIV001,department:DPT002
USR005,Suresh Sharma,ROLE001,DPT002,DES001,DIV001,department:DPT002
USR006,Arjun Reddy,ROLE001,DPT002,DES001,DIV001,department:DPT002
USR007,Karthik Iyer,ROLE001,DPT003,DES001,DIV001,department:DPT003
USR008,Priya Sharma,ROLE001,DPT003,DES001,DIV001,department:DPT003
USR009,Priya Iyer,ROLE001,DPT003,DES001,DIV001,department:DPT003
USR010,Arjun Reddy,ROLE002,,DES002,DIV001,division:DIV001
USR011,Sneha Kumar,ROLE002,,DES002,DIV001,division:DIV001
USR012,Anitha Iyer,ROLE002,,DES002,DIV001,division:DIV001
USR013,Arjun Sharma,ROLE003,,DES003,DIV001,division:DIV001
USR014,Arjun Rao,ROLE003,,DES003,DIV001,division:DIV001
USR015,Manoj Iyer,ROLE004,,DES004,DIV001,system:ALL
